year,variable,raw_column,rows,missing_pct,answers
2011,state,_STATE,506467,0.0,
2011,weight,_LLCPWT,506467,0.0,
2011,heart_attack,CVDINFR4,506467,0.5,No: 94.0%; Yes: 6.0%
2011,coronary_heart_disease,CVDCRHD4,506467,0.9,No: 94.0%; Yes: 6.0%
2011,stroke,CVDSTRK3,506467,0.3,No: 95.9%; Yes: 4.1%
2011,high_blood_pressure,BPHIGH4,506467,0.3,No: 58.2%; Yes: 39.9%; Borderline: 1.2%; Pregnancy only: 0.7%
2011,high_cholesterol,TOLDHI2,506467,2.7,No: 49.5%; Yes: 38.1%; Never checked: 12.4%
2011,diabetes,DIABETE3,506467,0.4,No: 85.0%; Yes: 12.4%; Borderline: 1.6%; Pregnancy only: 1.0%
2011,smoked_100,SMOKE100,506467,0.5,No: 53.8%; Yes: 46.2%
2011,heavy_drinker,_RFDRHV4,506467,7.3,No: 94.3%; Yes: 5.7%
2011,exercise,EXERANY2,506467,4.5,Yes: 73.0%; No: 27.0%
2011,bmi,_BMI5,506467,5.5,"median 26.6, min 12.0, max 97.7"
2011,sleep_hours,not asked,506467,100.0,
2011,age_group,_AGEG5YR,506467,1.0,60-64: 11.3%; 55-59: 11.0%; 50-54: 10.1%; 65-69: 9.5%; 80 or older: 8.4%; 45-49: 8.2%; 70-74: 7.8%; 40-44: 7.0%; 75-79: 6.3%; 35-39: 6.0%; 30-34: 5.5%; 18-24: 4.6%; 25-29: 4.4%
2011,sex,SEX,506467,0.0,Female: 60.7%; Male: 39.3%
2011,race,_IMPRACE,506467,0.0,White: 78.2%; Black: 8.1%; Hispanic: 7.7%; Other: 2.7%; Asian: 1.9%; American Indian/Alaska Native: 1.4%
2011,gen_health,GENHLTH,506467,0.4,Very good: 31.9%; Good: 30.9%; Excellent: 17.6%; Fair: 13.8%; Poor: 5.8%
2011,phys_days,PHYSHLTH,506467,2.4,"median 0.0, min 0.0, max 30.0"
2011,ment_days,MENTHLTH,506467,1.9,"median 0.0, min 0.0, max 30.0"
2011,diff_walking,not asked,506467,100.0,
2011,asthma,ASTHMA3,506467,0.3,No: 87.1%; Yes: 12.9%
2011,kidney_disease,CHCKIDNY,506467,0.6,No: 96.9%; Yes: 3.1%
2011,copd,CHCCOPD,506467,0.8,No: 92.2%; Yes: 7.8%
2011,depression,ADDEPEV2,506467,0.7,No: 81.9%; Yes: 18.1%
2011,arthritis,HAVARTH3,506467,0.9,No: 66.4%; Yes: 33.6%
2011,income,INCOME2,506467,14.5,75k+: 26.4%; 50-75k: 15.6%; 35-50k: 14.9%; 25-35k: 12.0%; 20-25k: 10.1%; 15-20k: 8.3%; 10-15k: 6.6%; <10k: 6.2%
2011,education,EDUCA,506467,0.4,College graduate: 34.2%; High school: 29.6%; Some college: 27.0%; Less than high school: 9.2%
2011,last_checkup,CHECKUP1,506467,1.3,Within 1 year: 72.4%; 1-2 years: 12.1%; 2-5 years: 7.3%; 5+ years: 7.2%; Never: 1.0%
2011,cost_barrier,MEDCOST,506467,0.3,No: 87.3%; Yes: 12.7%
2011,heart_disease,derived,506467,0.9,No: 90.9%; Yes: 9.1%
2012,state,_STATE,475687,0.0,
2012,weight,_LLCPWT,475687,0.0,
2012,heart_attack,CVDINFR4,475687,0.4,No: 93.9%; Yes: 6.1%
2012,coronary_heart_disease,CVDCRHD4,475687,0.8,No: 93.8%; Yes: 6.2%
2012,stroke,CVDSTRK3,475687,0.3,No: 95.9%; Yes: 4.1%
2012,high_blood_pressure,not asked,475687,100.0,
2012,high_cholesterol,not asked,475687,100.0,
2012,diabetes,DIABETE3,475687,0.2,No: 84.9%; Yes: 12.6%; Borderline: 1.6%; Pregnancy only: 0.9%
2012,smoked_100,SMOKE100,475687,2.0,No: 54.6%; Yes: 45.4%
2012,heavy_drinker,_RFDRHV4,475687,4.0,No: 94.6%; Yes: 5.4%
2012,exercise,EXERANY2,475687,0.3,Yes: 75.0%; No: 25.0%
2012,bmi,_BMI5,475687,5.4,"median 26.6, min 12.0, max 98.9"
2012,sleep_hours,not asked,475687,100.0,
2012,age_group,_AGEG5YR,475687,1.0,60-64: 11.1%; 55-59: 10.7%; 65-69: 10.0%; 50-54: 9.9%; 80 or older: 8.4%; 70-74: 7.9%; 45-49: 7.8%; 40-44: 6.8%; 75-79: 6.1%; 35-39: 5.9%; 30-34: 5.6%; 18-24: 5.3%; 25-29: 4.6%
2012,sex,SEX,475687,0.0,Female: 59.7%; Male: 40.3%
2012,race,_IMPRACE,475687,0.0,White: 77.5%; Black: 8.5%; Hispanic: 7.6%; Other: 3.0%; Asian: 2.0%; American Indian/Alaska Native: 1.5%
2012,gen_health,GENHLTH,475687,0.3,Very good: 32.1%; Good: 30.6%; Excellent: 17.7%; Fair: 13.8%; Poor: 5.9%
2012,phys_days,PHYSHLTH,475687,2.1,"median 0.0, min 0.0, max 30.0"
2012,ment_days,MENTHLTH,475687,1.7,"median 0.0, min 0.0, max 30.0"
2012,diff_walking,not asked,475687,100.0,
2012,asthma,ASTHMA3,475687,0.3,No: 87.2%; Yes: 12.8%
2012,kidney_disease,CHCKIDNY,475687,0.3,No: 96.7%; Yes: 3.3%
2012,copd,CHCCOPD1,475687,0.5,No: 92.0%; Yes: 8.0%
2012,depression,ADDEPEV2,475687,0.4,No: 81.5%; Yes: 18.5%
2012,arthritis,HAVARTH3,475687,0.5,No: 65.6%; Yes: 34.4%
2012,income,INCOME2,475687,14.0,75k+: 27.3%; 50-75k: 15.6%; 35-50k: 14.6%; 25-35k: 11.6%; 20-25k: 9.9%; 15-20k: 8.3%; 10-15k: 6.5%; <10k: 6.2%
2012,education,EDUCA,475687,0.4,College graduate: 34.5%; High school: 29.4%; Some college: 27.1%; Less than high school: 8.9%
2012,last_checkup,CHECKUP1,475687,1.3,Within 1 year: 72.8%; 1-2 years: 12.0%; 2-5 years: 7.2%; 5+ years: 7.1%; Never: 1.0%
2012,cost_barrier,MEDCOST,475687,0.3,No: 87.5%; Yes: 12.5%
2012,heart_disease,derived,475687,0.8,No: 90.7%; Yes: 9.3%
2013,state,_STATE,491773,0.0,
2013,weight,_LLCPWT,491773,0.0,
2013,heart_attack,CVDINFR4,491773,0.5,No: 94.0%; Yes: 6.0%
2013,coronary_heart_disease,CVDCRHD4,491773,0.9,No: 94.0%; Yes: 6.0%
2013,stroke,CVDSTRK3,491773,0.3,No: 95.8%; Yes: 4.2%
2013,high_blood_pressure,BPHIGH4,491773,0.3,No: 57.7%; Yes: 40.6%; Borderline: 1.0%; Pregnancy only: 0.7%
2013,high_cholesterol,TOLDHI2,491773,2.6,No: 49.4%; Yes: 38.3%; Never checked: 12.3%
2013,diabetes,DIABETE3,491773,0.2,No: 84.6%; Yes: 12.7%; Borderline: 1.8%; Pregnancy only: 0.9%
2013,smoked_100,SMOKE100,491773,3.0,No: 54.9%; Yes: 45.1%
2013,heavy_drinker,_RFDRHV4,491773,4.9,No: 94.5%; Yes: 5.5%
2013,exercise,EXERANY2,491773,6.9,Yes: 72.6%; No: 27.4%
2013,bmi,_BMI5,491773,5.4,"median 26.6, min 12.0, max 97.7"
